,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,tendencia,rango_area,delta,vix_close,cot_commercial,cot_noncommercial,cot_dealer,cot_institutional,cot_leveragedfunds,cot_other
38,09/26/2022,3702.75,3653.0,3640.0,11654800,553,3678.95,3705.25,3751.25,3613.0,3601.5,80800,166600,88800,0,bajista,62.25,-22800,31.62,232.967,-150.201,186.12,218.119,-286.836,-34.637
39,10/03/2022,3818.5,3793.75,3692.75,10844600,993,3733.86,3593.25,3820.0,3571.75,3653.25,5600,177600,43800,0,alcista,125.75,874600,31.36,247.141,-209.297,191.631,197.432,-340.474,-10.745
40,10/10/2022,3649.75,3608.0,3588.0,12074900,927,3620.82,3638.75,3733.75,3502.0,3597.5,62000,203300,64300,0,lateral,61.75,484400,32.02,195.229,-164.057,208.096,180.188,-346.985,-10.127
41,10/17/2022,3740.25,3691.5,3682.5,11806700,747,3709.26,3591.0,3777.25,3590.5,3764.0,103600,195900,94000,1,alcista,57.75,900900,29.69,258.615,-223.198,226.286,223.363,-413.282,-950.0
42,10/24/2022,3878.25,3843.5,3799.5,10003500,751,3837.49,3771.0,3924.25,3736.5,3911.25,46100,198900,86400,0,alcista,78.75,1088200,25.75,247.652,-219.102,194.26,279.614,-445.837,513.0
43,10/31/2022,3927.0,3884.25,3764.25,10095200,895,3817.84,3911.5,3928.0,3704.25,3779.5,3900,150100,62000,0,bajista,162.75,-18900,24.55,197.34,-175.063,55.727,320.832,-395.894,41.612
44,11/07/2022,3915.0,3815.25,3751.25,9223900,1086,3866.59,3750.0,4009.75,3738.25,4000.25,47800,113400,7400,1,alcista,163.75,780200,22.52,198.237,-177.059,65.321,322.809,-392.104,25.152
45,11/14/2022,4007.25,3969.5,3952.5,8095600,553,3979.16,3984.0,4050.75,3912.5,3974.0,56100,150700,48700,0,lateral,54.75,627000,23.12,203.138,-202.645,32.149,425.048,-471.274,14.57
46,11/21/2022,4048.25,4030.5,3967.5,4040700,447,3995.99,3972.5,4049.25,3937.5,4032.5,3400,122200,35200,0,alcista,80.75,548200,20.5,195.187,-191.492,-17.892,454.673,-435.987,2.901
47,11/28/2022,4104.0,4075.25,3980.25,8748000,675,4022.86,4020.25,4110.0,3941.25,4075.5,11800,164900,26100,0,alcista,123.75,813500,19.06,201.684,-204.176,-61.985,481.928,-419.34,-3.095
48,12/05/2022,4005.75,3969.0,3962.0,7434800,647,4000.0,4074.0,4108.75,3947.0,3936.25,62300,178500,61700,0,bajista,43.75,245400,22.83,196.622,-203.719,-28.954,463.748,-431.367,-10.524
49,12/12/2022,4041.0,3926.25,3855.25,8538500,1299,3989.43,3933.0,4180.0,3855.25,3871.5,50000,111000,2100,1,bajista,185.75,6100,22.62,212.726,-230.122,-9.472,488.157,-476.53,-19.551
50,12/19/2022,3875.25,3854.5,3824.5,7366400,525,3857.37,3874.0,3919.75,3788.5,3869.75,52600,146900,48800,0,lateral,50.75,623100,20.87,160.719,-159.752,-192.542,443.979,-218.488,-31.982
51,12/26/2022,3878.25,3858.5,3837.5,4563500,384,3850.28,3878.0,3900.5,3804.5,3861.0,63700,112700,46800,0,lateral,40.75,294600,21.67,178.986,-174.281,-155.754,446.279,-246.774,-39.046
52,01/03/2023,3874.25,3828.5,3825.5,7147100,457,3861.51,3895.0,3928.75,3814.5,3915.5,95100,150800,76000,1,lateral,48.75,16900,21.13,166.552,-167.301,-115.434,436.461,-276.214,-45.562
53,01/09/2023,4020.25,3989.5,3945.5,7914300,531,3964.87,3918.5,4024.25,3891.5,4018.25,25000,150000,29400,0,alcista,74.75,-22400,18.35,202.933,-213.174,-114.11,463.091,-315.325,-43.897
54,01/16/2023,4034.5,4012.75,3933.75,6573900,534,3966.61,4020.0,4035.25,3901.75,3988.5,6400,127700,50300,0,lateral,100.75,-25900,19.85,231.163,-226.818,-109.33,529.272,-386.243,-29.354
55,01/23/2023,4077.0,4032.25,4008.25,7753600,584,4037.02,3987.0,4109.25,3963.25,4084.25,30500,182300,22600,0,alcista,68.75,22800,18.51,202.765,-208.991,-122.941,531.252,-375.173,-39.364
56,01/30/2023,4208.5,4147.5,4069.5,984850,804,4114.76,4077.0,4208.5,4007.5,4147.75,3200,128200,28700,0,alcista,138.75,-6300,18.33,234.786,-222.257,-140.98,573.951,-396.262,-24.18
57,02/06/2023,4165.5,4124.75,4106.75,8844300,510,4124.25,4134.25,4188.25,4060.75,4099.75,77200,190700,50400,0,lateral,58.75,-19000,20.53,214.876,-217.545,-133.093,563.475,-392.326,-40.725
58,02/13/2023,4155.5,4142.75,4105.75,9132300,523,4119.82,4105.0,4186.5,4055.75,4087.5,57900,191800,80700,1,lateral,49.75,32600,20.02,251.135,-246.454,-93.125,564.934,-413.387,-53.741
59,02/20/2023,4034.25,4014.5,3976.5,7568100,567,4002.94,4083.0,4089.25,3947.5,3975.75,36300,176300,60400,0,lateral,57.75,-13600,21.67,241.153,-234.291,-101.722,545.089,-354.815,-81.69
60,02/27/2023,4009.75,3985.0,3953.0,8664600,512,3983.18,3976.5,4053.0,3925.0,4049.75,57300,197100,97900,0,alcista,56.75,44200,18.49,184.866,-183.891,-107.387,498.045,-298.918,-90.765
61,03/06/2023,4082.0,3989.25,3948.25,10135800,945,3976.05,4049.25,4082.5,3846.25,3862.75,5000,257100,22100,0,bajista,133.75,-22700,24.8,237.677,-209.482,-76.223,522.004,-304.19,-113.396
62,03/13/2023,3970.0,3952.25,3895.25,11549000,680,3929.59,3887.75,4009.25,3839.25,3957.0,75200,187700,123600,0,alcista,74.75,55700,25.51,183.204,-119.819,-65.92,491.195,-252.269,-109.621
63,03/20/2023,4019.5,3974.75,3949.75,8949100,706,3993.78,3963.75,4073.75,3897.25,4001.25,201900,374300,144300,1,lateral,69.75,-30300,21.74,266.455,-202.48,141.461,476.162,-461.699,-91.949
64,03/27/2023,4108.0,4080.75,4005.75,6601700,647,4053.3,4008.0,4142.5,3980.75,4137.75,45600,251700,196700,1,alcista,102.25,-68100,18.7,270.978,224.656,186.232,429.156,-450.423,-118.643
65,04/03/2023,4138.75,4129.0,4104.0,5616300,301,4128.29,4127.0,4171.75,4096.5,4132.0,145300,530400,206900,0,lateral,34.75,16500,18.4,281.472,-321.459,175.343,491.579,-565.812,-141.097
66,04/10/2023,4166.0,4138.75,4126.25,7307100,361,4144.13,4139.0,4189.0,4098.75,4163.75,230500,515400,257300,0,lateral,39.75,-54800,17.07,342.012,-307.612,164.734,535.18,-530.918,-134.596
67,04/17/2023,4175.0,4152.75,4145.25,7184300,252,4162.59,4174.25,4198.25,4135.25,4156.75,324900,731300,297200,0,lateral,29.75,-54700,16.77,359.83,-344.257,123.788,591.465,-547.296,-152.384
68,04/24/2023,4158.5,4098.75,4088.75,8034700,500,4130.48,4150.0,4193.75,4068.75,4188.5,301200,444800,112000,0,alcista,69.75,-11400,15.78,386.64,-363.267,58.477,584.474,-475.066,-144.512
69,05/01/2023,4162.0,4137.25,4079.75,8170300,576,4131.34,4190.0,4206.25,4062.25,4150.25,65600,400400,196600,0,bajista,82.25,-86900,17.19,381.267,-355.411,79.707,593.082,-467.864,-179.069
70,05/08/2023,4154.0,4136.75,4129.25,6600800,246,4140.67,4151.0,4173.25,4111.75,4138.0,459200,687300,312400,0,lateral,24.75,-55200,17.03,397.887,-376.023,96.241,596.818,-513.303,-157.892
71,05/15/2023,4189.75,4137.5,4122.5,7209400,429,4169.11,4132.25,4227.25,4120.0,4204.75,136700,503500,135100,1,alcista,67.25,-127500,16.81,415.658,-388.721,82.194,613.038,-501.276,-167.019
72,05/22/2023,4221.25,4204.0,4149.0,8277300,435,4170.51,4189.0,4222.75,4114.0,4213.25,101100,436200,246800,0,lateral,72.25,6600,17.95,422.107,-404.292,54.547,627.612,-517.901,-146.443
73,05/29/2023,4231.25,4189.0,4176.5,7617700,495,4222.9,4239.75,4297.75,4174.0,4288.0,238900,460500,168000,1,lateral,54.75,-17200,14.6,435.558,-434.17,75.017,627.896,-530.723,-170.802
74,06/05/2023,4297.5,4287.75,4272.75,7765400,251,4289.42,4288.0,4325.5,4262.75,4304.75,540000,618500,558300,1,alcista,24.75,-45000,13.83,350.541,-344.531,80.904,666.126,-576.131,-164.889
