,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,rango_area,delta,vix_close,dia_semanal,vix_0dte
41,02/13/2023,12567.0,12541.25,12429.25,461900,1207,12466.55,12357.5,12567.0,12265.25,12540.5,135,7200,2300,0,137.75,-1600.0,20.34,Lunes,18.91
42,02/14/2023,12436.5,12529.5,12436.5,710600,1186,12544.93,12547.25,12687.0,12390.5,12631.0,4900,6200,1400,0,155.75,-1700.0,18.91,Martes,32.21
43,02/15/2023,12650.0,12574.25,12539.25,561200,929,12620.8,12620.75,12756.5,12524.25,12730.0,1900,5500,1400,0,110.75,3800.0,18.23,Miercoles,17.15
44,02/16/2023,12692.0,12657.25,12544.25,669800,1350,12611.06,12740.0,12792.75,12455.25,12482.5,1100,8700,3600,0,147.75,2500.0,20.17,Jueves,16.19
45,02/17/2023,12401.5,12391.75,12315.75,621200,802,12352.64,12462.5,12466.25,12265.75,12390.0,3000,8700,5500,0,85.75,1500.0,20.02,Viernes,22.86
46,02/20/2023,12401.25,12376.5,12369.5,69200,285,12382.18,12382.75,12417.75,12346.5,12366.5,982,2200,1300,0,31.75,1500.0,20.02,Lunes,18.72
47,02/21/2023,12235.0,12112.25,12093.25,532400,1157,12196.22,12380.0,12379.5,12090.25,12096.75,3000,4500,939,0,141.75,-3800.0,22.87,Martes,19.94
48,02/22/2023,12147.75,12102.0,12079.0,632700,626,12108.17,12108.0,12190.5,12034.0,12097.5,4900,10200,4700,0,68.75,-686.0,22.29,Miercoles,17.96
49,02/23/2023,12260.25,12207.5,12127.5,632900,930,12163.75,12176.25,12261.0,12028.5,12207.5,372,8800,1500,0,132.75,-2500.0,21.14,Jueves,18.97
50,02/24/2023,11999.75,11962.0,11939.0,631100,1166,11994.22,12190.0,12214.5,11923.0,11997.0,7900,9400,4800,0,60.75,-2700.0,21.67,Viernes,18.66
51,02/27/2023,12134.75,12092.0,12073.0,574800,798,12102.12,12003.0,12189.5,11990.0,12083.25,3600,10200,4400,0,61.75,-5100.0,20.95,Lunes,16.09
52,02/28/2023,12122.5,12091.75,12062.75,642400,588,12099.67,12093.5,12172.75,12025.75,12072.25,4400,12800,4100,0,59.75,-6800.0,20.7,Martes,15.91
53,03/01/2023,12028.5,11961.75,11942.75,750100,868,12003.19,12041.25,12141.75,11924.75,11961.75,5000,12200,2400,0,85.75,3100.0,20.58,Miercoles,17.27
